Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
1,8,6,18,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,254
1,8,6,18,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,193
1,8,6,18,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,203
1,8,6,18,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,404
1,8,6,18,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,279
1,8,6,18,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,114
1,8,6,18,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,198
1,8,6,18,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,128
1,8,6,18,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,112
2,6,6,19,2,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,233
2,6,6,19,2,1.9,15,0.217,0.026,0.32,7,1,9.22184875,116
2,6,6,19,2,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,118
2,6,6,19,2,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,103
2,6,6,19,2,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,166
2,6,6,19,2,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,118
2,6,6,19,2,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,65
2,6,6,19,2,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,125
2,6,6,19,2,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,71
2,6,6,19,2,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,53
2,10,6,20,3,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,320
2,10,6,20,3,1.9,15,0.217,0.026,0.32,7,1,9.22184875,137
2,10,6,20,3,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,130
2,10,6,20,3,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,113
2,10,6,20,3,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,189
2,10,6,20,3,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,136
2,10,6,20,3,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,72
2,10,6,20,3,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,137
2,10,6,20,3,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,78
2,10,6,20,3,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,62
3,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,283
3,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,94
3,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,82
3,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,171
3,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,166
3,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,108
3,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,318
3,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,281
3,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,94
3,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,202
2,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,306
2,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,102
2,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,87
2,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,188
2,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,177
2,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,119
2,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,342
2,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,299
2,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,100
2,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,216
2,10,5,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,402
2,10,5,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,131
2,10,5,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,137
2,10,5,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,132
2,10,5,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,190
2,10,5,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,144
2,10,5,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,76
2,10,5,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,130
2,10,5,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,86
2,10,5,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,71
