Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
1,8,6,18,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,154
1,8,6,18,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,272
1,8,6,18,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,207
1,8,6,18,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,94
1,8,6,18,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,114
1,8,6,18,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,990
1,8,6,18,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,89
2,6,6,19,2,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,119
2,6,6,19,2,1.9,15,0.217,0.026,0.32,7,1,9.22184875,57
2,6,6,19,2,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,52
2,6,6,19,2,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,48
2,6,6,19,2,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,65
2,6,6,19,2,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,58
2,6,6,19,2,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,35
2,6,6,19,2,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,42
2,6,6,19,2,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,34
2,6,6,19,2,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,29
2,10,6,20,3,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,198
2,10,6,20,3,1.9,15,0.217,0.026,0.32,7,1,9.22184875,82
2,10,6,20,3,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,65
2,10,6,20,3,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,66
2,10,6,20,3,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,93
2,10,6,20,3,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,84
2,10,6,20,3,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,48
2,10,6,20,3,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,56
2,10,6,20,3,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,46
2,10,6,20,3,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,42
3,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,169
3,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,60
3,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,60
3,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,84
3,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,70
3,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,73
3,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,191
3,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,103
3,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,61
3,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,113
2,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,212
2,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,74
2,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,74
2,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,114
2,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,94
2,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,92
2,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,233
2,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,135
2,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,73
2,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,140
2,10,5,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,247
2,10,5,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,86
2,10,5,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,82
2,10,5,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,87
2,10,5,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,110
2,10,5,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,100
2,10,5,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,55
2,10,5,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,64
2,10,5,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,58
2,10,5,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,52
2,10,4,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,153
2,10,4,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,67
2,10,4,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,73
2,10,4,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,77
2,10,4,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,95
2,10,4,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,87
2,10,4,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,48
2,10,4,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,55
2,10,4,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,50
2,10,4,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,45
2,10,6,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,488
2,10,6,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,110
2,10,6,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,108
2,10,6,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,112
2,10,6,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,139
2,10,6,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,124
2,10,6,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,67
2,10,6,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,80
2,10,6,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,74
2,10,6,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,65
2,10,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,33
2,10,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,57
2,10,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,142
2,10,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,132
